,tp,n
1,1,8
2,2,1
3,6,10
4,361,1
5,362,6
6,363,19
7,364,6
8,373,21
9,374,7
10,379,10
11,380,30
12,381,20
13,382,23
14,383,12
15,431,3
16,432,5
17,690,7
18,691,3
19,694,3
20,695,9
21,696,4
22,699,6
23,700,2
24,709,7
25,710,14
26,711,21
27,712,10
28,715,17
29,716,5
30,717,12
31,718,5
32,719,2
33,720,11
34,731,20
35,732,23
36,733,24
37,734,10
38,739,12
39,740,19
40,741,5
41,742,21
42,743,29
43,744,32
44,1094,4
45,1811,14
46,1812,7
47,1813,8
48,1814,8
49,1815,14
50,1816,10
51,1817,1
52,1818,3
53,1819,6
54,1820,6
55,2197,1
56,2198,2
57,2202,2
58,2203,4
59,2207,8
60,2208,14
61,2209,11
62,2213,1
63,2589,7
64,2590,10
65,2874,3
66,2875,14
67,2876,8
68,2877,1
69,2878,6
70,2883,13
71,2884,8
72,2885,13
73,2886,8
74,2887,7
75,2888,3
76,2889,6
77,2904,3
78,2925,4
79,2926,4
80,2927,6
81,2928,2
82,2931,4
83,2933,3
84,2935,1
85,2937,1
86,2948,4
87,2949,8
88,2952,7
89,2953,6
90,2954,15
91,3240,4
92,3242,5
93,3243,1
94,3246,4
95,3247,8
96,3248,1
97,3250,1
98,3251,4
99,3252,7
100,3262,1
101,3263,8
102,3264,1
103,3267,12
104,3268,5
105,3270,4
106,3272,1
107,3273,6
108,3274,5
109,3276,4
110,3277,3
111,3291,8
112,3292,2
113,3296,2
114,3304,8
115,3305,8
116,3307,5
117,3308,4
118,3309,1
119,3310,8
120,3311,5
121,3312,8
122,3316,16
123,3317,5
124,3639,3
125,3640,7
126,3644,4
127,3645,18
128,3646,15
129,3647,16
130,3648,5
131,3649,2
132,3651,5
133,3652,17
134,3653,21
135,3654,8
136,3655,9
137,3664,7
138,3665,7
139,3666,4
140,3667,7
141,3671,8
142,3672,10
143,3673,5
144,3676,6
145,3677,13
146,3678,3
147,4002,5
148,4003,10
149,4004,2
150,4005,4
151,4006,9
152,4009,3
153,4010,2
154,4011,2
155,4012,6
156,4013,1
157,4014,4
158,4032,6
159,4033,14
160,4034,11
161,4038,4
162,4039,22
163,4040,3
164,4041,3
165,4042,12
166,4043,12
167,4758,12
168,4759,1
169,4773,21
170,4780,3
171,4781,3
172,4782,6
173,4783,18
174,5116,1
175,5119,1
176,5122,6
177,5123,5
178,5126,4
179,5131,18
180,5132,14
181,5136,10
182,5137,7
183,5139,16
184,5140,17
185,5141,3
186,5142,9
187,5144,5
188,5145,20
189,5146,11
190,5147,5
191,5496,4
192,5497,2
193,5499,3
194,5500,1
